AssetType,AssetClass
2 TO 12,PLAY STRUCTURE
2 TO 5,PLAY STRUCTURE
5 TO 12,PLAY STRUCTURE
BASEBALL,ATHLETIC FIELD
BASKETBALL,SPORT COURT
BENCH,SEATING
BIKE STOP,SHELTER
BOCCE BALL,ATHLETIC FIELD
BOULDER WITH PLAQUE,MONUMENT
CAIRN WITH PLAQUE,MONUMENT
CANOE,BOAT DOCK & LAUNCH
CENOTAPH,MONUMENT
CHAIR,SEATING
COMBO - FOOTBALL/SOCCER,ATHLETIC FIELD
COMMEMORATIVE PLAQUE,MONUMENT
COMMUNITY,OFF-LEASH DOG AREA
COMMUNITY OVEN,BBQ
CONCRETE TIRE STAND,BICYCLE RACK
COVERED,SHELTER
CRICKET PITCH,ATHLETIC FIELD
CROSS COUNTRY SKI,CROSS COUNTRY SKI
DISC SPORT,ATHLETIC FIELD
DOCK,BOAT DOCK & LAUNCH
ENGRAVED ROCK,MONUMENT
FITNESS STRUCTURE,FITNESS EQUIPMENT
FITNESS TRAIL STATION,FITNESS EQUIPMENT
FOOTBALL,ATHLETIC FIELD
GAZEBO,SHELTER
HANDBALL,SPORT COURT
HILL,TOBOGGAN RUN
HOCKEY PEN,ICE SKATING SURFACE
KNOCKDOWN RINK,ICE SKATING SURFACE
LAUNCH,BOAT DOCK & LAUNCH
LAWN BOWLING,ATHLETIC FIELD
LONG JUMP PIT,TRACK & FIELD
LOT,PARKING LOT
MEMORIAL,MONUMENT
NEIGHBOURHOOD,OFF-LEASH DOG AREA
OPEN FIELD,ATHLETIC FIELD
ORNAMENTAL,BICYCLE RACK
OTHER,BBQ
PÃ‰TANQUE,ATHLETIC FIELD
PEDESTAL,BBQ
PERGOLA,SHELTER
PICKLEBALL,SPORT COURT
PICNIC,SHELTER
PILLAR WITH PLAQUE,MONUMENT
PIT,BBQ
PLAY,STAND-ALONE PLAY COMPONENT
PLAYAREA,SANDBOX
PLAYERS BENCH,SEATING
PLEASURE RINK,ICE SKATING SURFACE
RACQUETBALL,SPORT COURT
REGIONAL,OFF-LEASH DOG AREA
REST STOP,SHELTER
ROCK,SEATING
RUGBY,ATHLETIC FIELD
RUNNING TRACK,TRACK & FIELD
SKATE,SKATEPARK
SKATING POND,ICE SKATING SURFACE
SKIJORING,CROSS COUNTRY SKI
SLIDE,TOBOGGAN RUN
SOCCER,ATHLETIC FIELD
SOLO STATION,FITNESS EQUIPMENT
STANDARD,BICYCLE RACK
STATUE,MONUMENT
SWIVEL,BBQ
TENNIS,SPORT COURT
UMBRELLA,SHELTER
UNIQUE,MONUMENT
VOLLEYBALL,SPORT COURT
WALKING/SKI,CROSS COUNTRY SKI
